index,Title,Summary,Enrollment,Stars,Link,Website
1,2020 Complete Python Bootcamp: From Zero to Hero in Python,Learn Python like a Professional! Start from the basics and go all the way to creating your own applications and games!,1100093,4.6,https://www.udemy.com/course/complete-python-bootcamp/,Udemy
2,Data Science,Johns Hopkins University,830000,4.5,https://www.coursera.org/,Coursera
3,Career Success,"University of California, Irvine",790000,4.4,https://www.coursera.org/,Coursera
4,English for Career Development,University of Pennsylvania,760000,4.8,https://www.coursera.org/,Coursera
5,Successful Negotiation: Essential Strategies and Skills,University of Michigan,750000,4.8,https://www.coursera.org/,Coursera
6,Data Science: Foundations using R,Johns Hopkins University,740000,4.6,https://www.coursera.org/,Coursera
7,Machine Learning A-Z™: Hands-On Python & R In Data Science,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,692812,4.5,https://www.udemy.com/course/machinelearning/,Udemy
8,Automate the Boring Stuff with Python Programming,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",692617,4.6,https://www.udemy.com/course/automate/,Udemy
9,Deep Learning,deeplearning.ai,690000,4.8,https://www.coursera.org/,Coursera
10,Neural Networks and Deep Learning,deeplearning.ai,630000,4.9,https://www.coursera.org/,Coursera
11,Improve Your English Communication Skills,Georgia Institute of Technology,610000,4.7,https://www.coursera.org/,Coursera
12,The Web Developer Bootcamp,"The only course you need to learn web development - HTML, CSS, JS, Node, and More!",596726,4.6,https://www.udemy.com/course/the-web-developer-bootcamp/,Udemy
13,Academic English: Writing,"University of California, Irvine",540000,4.7,https://www.coursera.org/,Coursera
14,Business Foundations,University of Pennsylvania,510000,4.7,https://www.coursera.org/,Coursera
15,Java Programming Masterclass for Software Developers,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,502572,4.6,https://www.udemy.com/course/java-the-complete-java-developer-course/,Udemy
16,Excel to MySQL: Analytic Techniques for Business,Duke University,490000,4.6,https://www.coursera.org/,Coursera
17,Applied Data Science with Python,University of Michigan,480000,4.5,https://www.coursera.org/,Coursera
18,IBM Data Science,IBM,480000,4.6,https://www.coursera.org/,Coursera
19,R Programming,Johns Hopkins University,480000,4.6,https://www.coursera.org/,Coursera
20,The Complete Python 3 Course: Beginner to Advanced!,"Learn Python with projects covering game & web development, web scraping, MongoDB, Django, PyQt, and data visualization!",477630,4.2,https://www.udemy.com/course/python-complete/,Udemy
21,Financial Markets,Yale University,470000,4.8,https://www.coursera.org/,Coursera
22,Project Management & Other Tools for Career Development,"University of California, Irvine",440000,4.6,https://www.coursera.org/,Coursera
23,Grammar and Punctuation,"University of California, Irvine",430000,4.7,https://www.coursera.org/,Coursera
24,"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,430000,4.6,https://www.coursera.org/,Coursera
25,Angular - The Complete Guide (2020 Edition),"Master Angular 10 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",422557,4.6,https://www.udemy.com/course/the-complete-guide-to-angular-2/,Udemy
26,Python Data Structures,University of Michigan,420000,4.9,https://www.coursera.org/,Coursera
27,The Data Scientist’s Toolbox,Johns Hopkins University,420000,4.6,https://www.coursera.org/,Coursera
28,First Step Korean,Yonsei University,400000,4.9,https://www.coursera.org/,Coursera
