0,Title,Enrollment,Stars,Link,Website
1,CS50's Introduction to Computer Science,2442271,4.8,https://www.edx.org/course/cs50s-introduction-to-computer-science,edX
2,IELTS Academic Test Preparation,1103777,4.8,https://www.edx.org/course/ielts-academic-test-preparation,edX
3,2020 Complete Python Bootcamp: From Zero to Hero in Python,1100093,4.6,https://www.udemy.com/course/complete-python-bootcamp/,Udemy
4,TOEFL® Test Preparation: The Insider’s Guide,1022489,4.6,https://www.edx.org/course/toefl-test-preparation-the-insiders-guide,edX
5,Data Science,830000,4.5,https://www.coursera.org/,Coursera
6,Career Success,790000,4.4,https://www.coursera.org/,Coursera
7,English for Career Development,760000,4.8,https://www.coursera.org/,Coursera
8,Successful Negotiation: Essential Strategies and Skills,750000,4.8,https://www.coursera.org/,Coursera
9,Data Science: Foundations using R,740000,4.6,https://www.coursera.org/,Coursera
10,CS50's Web Programming with Python and JavaScript,698950,4.6,https://www.edx.org/course/cs50s-web-programming-with-python-and-javascript,edX
11,Machine Learning A-Z™: Hands-On Python & R In Data Science,692812,4.5,https://www.udemy.com/course/machinelearning/,Udemy
12,Automate the Boring Stuff with Python Programming,692617,4.6,https://www.udemy.com/course/automate/,Udemy
13,Deep Learning,690000,4.8,https://www.coursera.org/,Coursera
14,Introduction to Linux,642088,4.5,https://www.edx.org/course/introduction-to-linux,edX
15,Neural Networks and Deep Learning,630000,4.9,https://www.coursera.org/,Coursera
16,Improve Your English Communication Skills,610000,4.7,https://www.coursera.org/,Coursera
17,The Web Developer Bootcamp,596726,4.6,https://www.udemy.com/course/the-web-developer-bootcamp/,Udemy
18,Academic English: Writing,540000,4.7,https://www.coursera.org/,Coursera
19,Data Science: R Basics,528782,4.4,https://www.edx.org/course/data-science-r-basics,edX
20,Business Foundations,510000,4.7,https://www.coursera.org/,Coursera
21,Java Programming Masterclass for Software Developers,502572,4.6,https://www.udemy.com/course/java-the-complete-java-developer-course/,Udemy
22,Excel to MySQL: Analytic Techniques for Business,490000,4.6,https://www.coursera.org/,Coursera
23,Applied Data Science with Python,480000,4.5,https://www.coursera.org/,Coursera
24,IBM Data Science,480000,4.6,https://www.coursera.org/,Coursera
25,R Programming,480000,4.6,https://www.coursera.org/,Coursera
26,The Complete Python 3 Course: Beginner to Advanced!,477630,4.2,https://www.udemy.com/course/python-complete/,Udemy
27,The Science of Happiness,475614,4.8,https://www.edx.org/course/the-science-of-happiness-3,edX
28,Financial Markets,470000,4.8,https://www.coursera.org/,Coursera
29,Project Management & Other Tools for Career Development,440000,4.6,https://www.coursera.org/,Coursera
30,Grammar and Punctuation,430000,4.7,https://www.coursera.org/,Coursera
31,"Speak English Professionally: In Person, Online & On the Phone",430000,4.6,https://www.coursera.org/,Coursera
32,Angular - The Complete Guide (2020 Edition),422557,4.6,https://www.udemy.com/course/the-complete-guide-to-angular-2/,Udemy
33,Python Data Structures,420000,4.9,https://www.coursera.org/,Coursera
34,The Data Scientist’s Toolbox,420000,4.6,https://www.coursera.org/,Coursera
35,Contract Law: From Trust to Promise to Contract,414181,4.8,https://www.edx.org/course/contract-law-from-trust-to-promise-to-contract,edX
36,The Architectural Imagination,406181,4.6,https://www.edx.org/course/the-architectural-imagination,edX
37,Basic Spanish 1: Getting Started,400169,4.5,https://www.edx.org/course/basic-spanish-1-getting-started,edX
38,First Step Korean,400000,4.9,https://www.coursera.org/,Coursera
39,Justice,392588,4.6,https://www.edx.org/course/justice-2,edX
40,Introduction to Data Science in Python,390000,4.5,https://www.coursera.org/,Coursera
41,Python for Data Science and Machine Learning Bootcamp,387789,4.6,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,Udemy
42,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167,4.8,https://www.edx.org/course/fundamentals-of-neuroscience-part-1-the-electrical,edX
43,Digital Marketing,380000,4.6,https://www.coursera.org/,Coursera
44,Java Programming and Software Engineering Fundamentals,380000,4.6,https://www.coursera.org/,Coursera
45,Introduction to Philosophy,370000,4.6,https://www.coursera.org/,Coursera
46,SAS Programmer,370000,4.8,https://www.coursera.org/,Coursera
47,Stanford Introduction to Food and Health,370000,4.7,https://www.coursera.org/,Coursera
48,Complete C# Unity Game Developer 2D,364934,4.6,https://www.udemy.com/course/unitycourse/,Udemy
49,AI For Everyone,350000,4.8,https://www.coursera.org/,Coursera
50,Competitive Strategy and Organization Design,350000,4.7,https://www.coursera.org/,Coursera
51,Google IT Support,350000,4.8,https://www.coursera.org/,Coursera
52,The Complete JavaScript Course 2020: Build Real Projects!,347979,4.6,https://www.udemy.com/course/the-complete-javascript-course/,Udemy
53,CS50's Introduction to Game Development,346748,4.9,https://www.edx.org/course/cs50s-introduction-to-game-development,edX
54,Camino a la Excelencia en Gestión de Proyectos,340000,4.7,https://www.coursera.org/,Coursera
55,HTML5 and CSS Fundamentals,335895,4.7,https://www.edx.org/course/html5-and-css-fundamentals,edX
56,Object Oriented Programming in Java,330000,4.6,https://www.coursera.org/,Coursera
57,Introduction to Java Programming: Starting to code in Java,325554,4.6,https://www.edx.org/course/introduction-to-java-programming-starting-to-code,edX
