S. No.,Title,Links,Website
1,A Group chat application in Java,https://www.geeksforgeeks.org/a-group-chat-application-in-java/,Geeks for Geeks
2,Amazon Alexa Reviews Sentiment Analysis using Python,https://thecleverprogrammer.com/2021/06/12/amazon-alexa-reviews-sentiment-analysis-using-python/,Clever Programmer
3,Android General Knowledge Chatbot,https://nevonprojects.com/android-chatbot-helpdesk-project/,Nevon Projects
4,Artificial Intelligence HealthCare Chatbot System,https://nevonprojects.com/artificial-intelligence-healthcare-chatbot-system/,Nevon Projects
5,Bar Code and QR Code Reader using Python,https://thecleverprogrammer.com/2020/10/23/barcode-and-qr-code-reader-with-python/,Clever Programmer
6,Cancer Prediction System using Naive Bayes,https://nevonprojects.com/cancer-prediction-system-using-naive-bayes/,Nevon Projects
7,Chatbot with Machine Learning and Python,https://thecleverprogrammer.com/2020/11/01/chatbot-with-machine-learning-and-python/,Clever Programmer
8,Clock APP with Python,https://thecleverprogrammer.com/2020/05/10/python-clock-app-with-kivy/,Clever Programmer
9,College Enquiry Chat Bot,https://nevonprojects.com/college-enquiry-chat-bot/,Nevon Projects
10,Covid-19 Cases Prediction with Python,https://thecleverprogrammer.com/2020/11/29/covid-19-cases-prediction-with-python/,Clever Programmer
11,Covid-19 Vaccine Sentiment Analysis,https://thecleverprogrammer.com/2021/01/11/covid-19-vaccine-sentiment-analysis/,Clever Programmer
12,Create a 3D Video with Python and Machine Learning,https://thecleverprogrammer.com/2020/09/14/3d-video-with-python/,Clever Programmer
13,Currency Exchange Rate Prediction with Machine Learning,https://thecleverprogrammer.com/2021/05/22/currency-exchange-rate-prediction-with-machine-learning/,Clever Programmer
14,Customer Focused Ecommerce Site With AI Bot,https://nevonprojects.com/customer-focused-ecommerce-site-with-ai-bot/,Nevon Projects
15,Data Mining for Sales Prediction in Tourism Industry,https://nevonprojects.com/data-mining-for-sales-prediction-in-tourism-industry/,Nevon Projects
16,Deploy a Chatbot using Python,https://thecleverprogrammer.com/2020/08/21/deploy-a-chatbot-with-python/,Clever Programmer
17,Diabetes Prediction Using Data Mining,https://nevonprojects.com/diabetes-prediction-using-data-mining/,Nevon Projects
18,Digital Image Processing Algorithms using MATLAB,https://www.geeksforgeeks.org/digital-image-processing-algorithms-using-matlab/,Geeks for Geeks
19,Doctor Appointment with disease Prediction App,https://nevonprojects.com/doctor-appointment-booking-live-chat-app/,Nevon Projects
20,Driver Drowsiness Detection System for Accident Prevention,https://nevonprojects.com/driver-drowsiness-detection-system-for-accident-prevention/,Nevon Projects
21,E-commerce Website using Django,https://www.geeksforgeeks.org/e-commerce-website-using-django/,Geeks for Geeks
22,Extract Text from videos with Python,https://thecleverprogrammer.com/2020/12/25/extract-text-from-videos-using-python/,Clever Programmer
23,Face Detection using Python,https://thecleverprogrammer.com/2020/10/09/face-detection-with-python/,Clever Programmer
24,Facial Emotion Detection using Convolutional Neural Network,https://nevonprojects.com/facial-emotion-detection-using-convolutional-neural-network/,Nevon Projects
25,Facial Emotion Recognition and Detection in Python using Deep Learning,https://nevonprojects.com/facial-emotion-recognition-and-detection-in-python-using-deep-learning/,Nevon Projects
26,Fake Currency Detection with Machine Learning,https://thecleverprogrammer.com/2020/09/29/fake-currency-detection-with-machine-learning/,Clever Programmer
27,Generating Password and OTP in Java,https://www.geeksforgeeks.org/generating-password-otp-java/,Geeks for Geeks
